conm,gvkey,tic
VERSATA INC,132526,VATA
IFCO SYSTEMS NV,132538,ISYFF
RESPONSE BIOMEDICAL CORP,132539,3RPBIF
VECTOR AEROSPACE CORP,132558,RNO.
E MACHITOWN CO LTD,132598,CRFH
DIGITAS INC,132599,DTAS.
IPRINT TECHNOLOGIES INC,132600,IPRT
01 COMMUNIQUE LABORATORY INC,132602,OCQLF
TRAVELOCITY.COM INC,132605,TVLY.
ORAPHARMA INC,132641,OPHM
RIVERDEEP GROUP PLC,132643,RVDPY
DETERMINE INC,132644,DTRM
NEW CHINA HOMES LTD,132678,NEWC.
GT GROUP TELECOM INC,132698,GTTLQ
HOMEGROCER.COM INC,132700,HOMG
JANNOCK PROPERTIES LTD,132701,JPL.U
OTG SOFTWARE INC,132702,OTGS
FRONTLINE TECHNOLOGIES INC,132718,BZTIF
NEVADA COPPER CORP,132738,NEVDF
INFINEON TECHNOLOGIES AG,132740,IFNNY
SUNDAY COMMUNICATIONS LTD,132742,SDAYY
RADVISION LTD,132758,RVSN
COSTAR TECHNOLOGIES INC,132799,CSTI
LASTMINUTE.COM PLC,132800,LMIN
PRISM MEDICAL LTD,132802,PSDLF
IMPROVENET INC,132978,3IMPV
LOUDEYE CORP,132980,LOUD
LENCO MOBILE INC,132981,LNCMQ
PSI TECHNOLOGIES HLDGS  -ADR,132986,PSITY
SONG NETWORKS HLDG AB,132987,SONWY
WACCAMAW BANKSHARES INC,132988,WBNK
MOBILE CLIMATE CONTROL INDS,133004,MCC.3
NURUN INC,133024,NUR.Z
SCO GROUP INC,133044,SCOXQ
INTEGRATED INFORMATION SYS,133045,IISX
TIPPINGPOINT TECHNOLOGIES,133047,TPTI
INTERMOUNTAIN CMNTY BANCORP,133048,IMCB
UAGH INC,133049,5069B
UPROAR INC,133050,UPRO.1
KT CORP,133104,KT
ACLARA BIOSCIENCES INC,133164,ACLA
CUBIC ENERGY INC,133166,CBNRQ
VHGI HOLDINGS INC,133169,VHGI
GRANT PRIDECO INC,133170,GRP.
PARTSBASE INC,133184,PRTS.1
IGN ENTERTAINMENT INC,133186,IGNX
BUSYBOX.COM INC,133204,BUSY
INSILICON CORP,133245,INSN.
INTERMUNE INC,133246,ITMN
JET METAL CORP,133247,JETMF.
PANGEO PHARMA INC,133249,PIL.H
GLOBAL LT TELECOMMUNICATIONS,133264,GBTI
BLAZE SOFTWARE INC,133284,BLZE.
MAXXCOM INC,133286,MXX.1
SILICON LABORATORIES INC,133288,SLAB
SUN LIFE FINANCIAL INC,133289,SLF
ALVARION LTD,133304,ALVRQ
EMACHINES INC,133324,3EEEE
EPRISE CORP,133325,EPRS.
DIGITAL LIGHTHOUSE CORP,133326,DGLHQ
SK BROADBAND CO LTD,133327,HANAY
ARDEA BIOSCIENCES INC,133328,RDEA
VIASYSTEMS GROUP INC,133346,VIAS
ABSOLUTE SOFTWARE CORP,133364,ALSWF
C-CUBE SEMICONDUCTOR INC,133365,3CCSCV
EDWARDS LIFESCIENCES CORP,133366,EW
EDGEWELL PERSONAL CARE CO,133367,EPC
IMPERIAL PARKING CORP,133369,IPK.1
GREY WOLF EXPLORATION INC,133404,GWE.Z
ALLOS THERAPEUTICS INC,133424,ALTH
ARTISTDIRECT INC,133425,ARTD
INTL COSMETICS MARKETING CO,133428,SASN
MOLDFLOW CORP,133430,MFLO
WEBSENSE INC,133432,WBSN
COMPLETEL EUROPE NV,133444,CLTLF.
RIGEL PHARMACEUTICALS INC,133468,RIGL
TELOCITY INC,133469,TLCT
OROSUR MINING INC,133471,OROXF
LUMINEX CORP,133504,LMNX
PEOPLES CMNTY BANCORP INC,133506,PCBI
ARROWPOINT COMMUNICATION INC,133524,ARPT
GLOBAL SOURCES LTD,133525,GSOL
CONVERSANT INC,133547,CNVR
CAMTEK LTD,133564,CAMT
TRADER CLASSIFIED MEDIA NV,133584,TRDFF
MAIN STREET TRUST INC,133644,3MSTI
UNIVERSE2U INC,133665,UTOU
THREE RIVERS BANCORP INC,133685,TRBC.
ADOLOR CORP,133724,ADLR
CABOT MICROELECTRONICS CORP,133726,CCMP
CHINA EDUCATION RESOURCES,133727,CHNUF
ARTEMIS INTL SOLUTIONS CORP,133728,3AMSI.
ORATEC INTERVENTIONS INC,133729,OTEC
STRATUS SERVICES GROUP INC,133730,SSVG
TANOX INC,133731,TNOX
VYYO INC,133732,VYYO
EAGLE BANCORP MONTANA INC,133764,EBMT
HEALTHSTREAM INC,133766,HSTM
KRISPY KREME DOUGHNUTS INC,133767,KKD
METLIFE INC,133768,MET
ULTICOM INC,133769,ULCM
MEDSITE.COM INC,133784,MSTE.1
TECHIES.COM INC,133786,TCHS.
ONESOFT CORP,133804,ONSF
LINKSHARE CORP,133824,LNKS
SUPPORT.COM INC,133825,SPRT
IMAGEWARE SYSTEMS INC,133844,IWSY
BROADBAND HOLDERS TR,133865,BDH
PURPLE COMMUNICATIONS INC,133866,PRPL.1
I3 MOBILE INC,133867,IIIM
LEXICON PHARMACEUTICALS INC,133868,LXRX
LIVEPERSON INC,133869,LPSN
PETROCHINA CO LTD,133870,PTR
SANGAMO THERAPEUTICS INC,133871,SGMO
EXELIXIS INC,133885,EXEL
NUMERICAL TECHNOLOGIES INC,133886,NMTC.1
SABA SOFTWARE INC,133888,SABA
NOVA MEASURING INSTRUMENTS,133905,NVMI
OCLARO INC,133944,OCLR
DDI CORP,133945,DDIC
BEAR CREEK MINING CORP,133947,BCEKF
QUALSTAR CORP,133949,QBAK
CRYPTOLOGIC LTD,133964,CRYP
CORILLIAN CORP,133985,CORI.1
INTEGRATED PRODUCTION SVCS,133986,IPL.1
PEC SOLUTIONS INC,133987,PECS
PORT FINANCIAL CORP,133988,PORT.
ASIACONTENT.COM LTD  -CL A,134004,IASIZ
COOLSAVINGS INC,134025,3CSAV
CROWN MEDIA HOLDINGS INC,134026,CRWN
NUANCE COMMUNICATIONS-OLD,134031,NUAN.
SINA CORP,134044,SINA
FREEI NETWORKS INC,134084,FREI
KNOVA SOFTWARE INC,134104,3KNVS
OBJECTSPACE INC,134124,OBSP
TOP TIER SOFTWARE INC,134125,TOPT.1
EFUNDS CORP,134144,EFD.1
WEBEX COMMUNICATIONS INC,134164,WEBX
MOMENTUM ADVANCED SOLUTIONS,134224,WWW.Z
QSC AG,134267,QSCG
MAG SILVER CORP,134305,MAG
MONOGRAM BIOSCIENCES INC,134308,MGRM
RIGHTSTART.COM INC,134344,TOTS.1
MINDLEADERS.COM INC,134364,DPEC
STEC INC,134384,STEC
ZLAND.COM INC,134404,ZLND
PETSMART.COM INC,134424,PSCM.1
EMBARCADERO TECHNOLOGIES INC,134447,EMBT.
MERILUS INC  -OLD,134448,MRHD.1
KIEWIT ROYALTY TRUST,134450,KIRY
PACKARD BIOSCIENCE INC,134451,PBSC
SEEBEYOND TECHNOLOGY CORP,134452,SBYN
360NETWORKS INC,134453,3TSIXQ.1
CHS INC,134464,9919B
CROWN JEWEL RESOURCES CORP,134484,CJRS
DBUB GROUP INC,134504,DBUB
BUILDNET INC,134604,BNET.
GARAGE.COM INC,134605,GRGE
COLORSMART.COM INC,134625,COLR
AUCTION-SALES.COM INC,134644,AUCT
CCBN.COM INC,134645,CCBX.1
CHEMATCH.COM INC,134664,CHEM.3
PRAECIS PHARMACEUTICALS INC,134685,PRCS
DURO COMMUNICATIONS CORP,134704,DURO
ENVIRONMAX.COM INC,134724,9931B
SIGNALSOFT CORP,134744,SGSF
TALARIAN CORP,134764,TALR.1
GREENWICH TECHNOLOGY PTRS,134765,GTPI.
ECAL CORP,134784,ECAL
DOCENT INC,134804,DCNT
QGX LTD,134826,QGX.Z
AT&T WIRELESS SERVICES INC,134845,AWE.2
BSI2000 INC,134867,BSIO
GENOMIC SOLUTIONS INC,134869,GNSL
METAWAVE COMMUNICATIONS CP,134870,MTWV
ON SEMICONDUCTOR CORP,134932,ON
WHEREVER.NET HLDG CORP  -ADR,134938,WNETY
ECHAPMAN INC,134944,ECMN
PINNACOR INC,134964,PCOR
NETGENICS INC,134965,NTGC
CROSSWORLDS SOFTWARE INC,134984,CWLD
ORCHID CELLMARK INC,135004,ORCH
SEQUOIA SOFTWARE CORP,135024,SQSW
PIXELWORKS INC,135044,PXLW
INFINITE TECHNOLOGY GRP LTD,135064,ITGL.1
BURNTSAND INC,135124,BRT.Z
CANDENTE COPPER CORP,135145,CCOXF
OTIX GLOBAL INC,135165,OTIX
SPROTT PHYSCL GOLD & SLVR TR,135184,CEF
LA MANCHA RESOURCES INC,135226,LACHF
ICARBON CORP,135244,ICRB
ENTHRUST FINANCIAL SVCS INC,135245,3EFSV
HIP INTERACTIVE CORP,135246,HIPIF
ICORIA INC,135247,ICOR.
SEMICONDUCTOR HLDRS TR,135249,SMHYL
TIAA-CREF,135264,9933B
ISEE3D INC,135345,ISEDF
SILVER STAR FOODS INC,135346,SSTF
FORUM MOBILE INC,135401,FRMB
STEREO VISION ENTRNMT INC,135409,SVSN
TWO RIVER BANCORP,135425,TRCB
FRONTIER COMMUNICATIONS CORP,135484,FTR
LIVE CURRENT MEDIA INC,135527,LIVC
ISHARES MSCI SOUTH KOREA ETF,135544,EWY
US UNWIRED INC,135669,UNWR
ALAMOGORDO FINANCIAL CORP,135684,3ALMG
NOGATECH INC,135686,NGTC
IBEAM BROADCASTING CORP,135705,IBEMQ
NEW FOCUS INC,135708,NUFO
FIRST NATL BANCSHARES INC/SC,135784,FNSCQ
MEDCOMSOFT INC,135787,MESFF
CEVA INC,135788,CEVA
DIVA SYSTEMS CORP,135804,3DVTV
MICROTUNE INC,135805,TUNE
VINA TECHNOLOGIES INC,135824,VINA
INNOVATIVE SOLTNS & SUPP INC,135844,ISSC
O2WIRELESS SOLUTIONS INC,135864,3OTWO
BROADWING CORP,135865,BWNG
ONI SYSTEMS CORP,135914,ONIS
CENTILLIUM COMMUNICATIONS,135945,CTLM
PETROGLOBE INC,135964,PTGBF
RIBBON COMMUNICATIONS INC,135965,RBBN
SIRENZA MICRODEVICES INC,135966,SMDI.
UNIVERSAL COMPRESSION HLDGS,135969,UCO.1
SCIELE PHARMA INC,135986,SCRX
RUN OF RIVER POWER INC,135987,RNORF
NRG ENERGY INC,135990,NRG
PURE RESOURCES INC,136009,PRS.3
ALCATEL CANADA INC,136044,AT.1
LEGG MASON CDA HOLDINGS LTD,136146,LMI.1
INSMED INC,136186,INSM
CI GLOBAL OPPORTUN II FD,136244,BOI.U
EXULT INC,136264,EXLT
PACWEST BANCORP,136265,PACW
SAVANNA ENERGY SVCS CORP,136266,SVGYF
UBIQUITEL INC,136267,UPCS
STRATA PWR CORP,136287,SPOWF
PENDRELL CORP,136306,PCOA
MEDIS TECHNOLOGIES LTD,136307,MDTL
SYNX PHARMA INC,136310,SYY.
ISHARES RUSSELL 1000 ETF,136364,IWB
ISHARES RUSSELL 2000 ETF,136384,IWM
ISHARES RUSSELL 3000 ETF,136404,IWV
ISHARES RUSSELL 1000 VALUE,136424,IWD
ISHARES RUSSELL 1000 GWTH,136444,IWF
ISHARES US FINANCIALS ETF,136445,IYF
ISHARES US TELECOMMUNICATION,136464,IYZ
ISHARES TR DJ US INTERNET,136484,IYV
ISHARES US TECHNOLOGY ETF,136504,IYW
ISHARES S&P 500 GROWTH ETF,136524,IVW
ISHARES S&P 500 VALUE ETF,136544,IVE
ISHARES CORE S&P MID-CAP ETF,136564,IJH
ISHARES CORE S&P SM-CAP ETF,136584,IJR
ISHARES CORE S&P 500 ETF,136604,IVV
DUCK HEAD APPAREL CO INC,136645,DHA
EDIETS.COM INC,136646,DIET
GLOBAL DIVERSIFIED INDS INC,136647,GDIV
VISTEON CORP,136648,VC
BLUE RIBBON INCOME FUND,136664,BLUBF
BROOKFIELD RENEWABLE PRTS LP,136684,BEP
ISHARES S&P/TSX 60 INDEX ETF,136704,IUTSF
TIMBERWEST FOREST CORP,136705,TWF.UN
SPROUT TINY HOMES INC,136724,STHI
INTUITIVE SURGICAL INC,136725,ISRG
CAL-BAY INTERNATIONAL INC,136727,CBYI
CEPHEID INC,136804,CPHD
DAC TECHNOLOGIES GRP INTL IN,136806,DAAT
EUROPEAN GOLDFIELDS LTD,136807,EGFDF.
PEAK GOLD LTD,136808,PIK.2
TELZUIT MEDICAL TECH INC,136809,TZMT
AUGUST TECHNOLOGY CORP,136824,AUGT
BAY NATIONAL CORP,136825,BAYN
GLOBAL 1 INVESTMENT HOLDINGS,136827,GOIH
REDIFF.COM INDIA LTD  -ADR,136828,REDFY
ROYALITE PETROLEUM CO INC,136830,RYPE
BANK OF THE JAMES FINANCIAL,136844,BOTJ
OSCA INC,136847,OSCA
MERCANTILE BANCORP INC/IL,136864,MBCRQ
DENDREON CORP,136884,DNDNQ
ISHARES US CONSUMER SVCS,136904,IYC
ISHARES US UTILITIES ETF,136905,IDU
ISHARES US REAL ESTATE ETF,136906,IYR
ISHARES US INDUSTRIALS ETF,136907,IYJ
ISHARES US HEALTHCARE ETF,136924,IYH
ISHARES US FINANCIAL SVC ETF,136944,IYG
ISHARES US ENERGY ETF,136945,IYE
ISHARES US CONSUMER GOODS,136946,IYK
ISHARES TR DJ US CHEMICALS,136947,IYD
ISHARES US BASIC MATERIALS,136948,IYM
ISHARES DOW JONES US ETF,136964,IYY
ISHARES TR S&P/TSE60,137004,IKC
BASIC ENERGY SERVICES INC,137024,BAS
ANC RENTAL CORP,137064,ANCJQ
CHINA UNICOM (HONG KONG) LTD,137066,CHU
HANDSPRING INC,137067,HAND
SONOMAX TECHNOLOGIES INC,137068,SXHHF
TIKCRO TECHNOLOGIES LTD,137069,TIKRF
RAHAXI INC,137071,RHXI
BELLUS HEALTH INC,137090,BLUSF
CLICKSOFTWARE TECHNOLOGIES,137110,CKSW
OCCAM NETWORKS INC,137130,OCNW
CHARLES RIVER LABS INTL INC,137131,CRL
FULL MOON UNIVERSE INC,137132,FULM
HSBC BANK CDA,137135,HSB.PC
24/7 KID DOC INC,137136,TVMD
MANUFACTURERS SERVICES LTD,137137,MSV.2
REGIONAL BANK HOLDRS TRUST,137139,RKHYL
RAINFOREST RESOURCES INC,137141,RRIF
UTILITIES HOLDRS TR,137143,UTHYL
J B WILLIAMS HOLDINGS INC,137150,9956B
ATRIUM CO INC,137170,9957B
ISHARES MSCI TIWAN CAPED ETF,137171,EWT
MVC CAPITAL INC,137230,MVC
JANUS CAPITAL GROUP INC,137232,JNS
ART ADVANCED RESEARCH TECH,137250,ARA.Z
CLICK COMMERCE INC,137252,CKCM
NSTEIN TECHNOLOGIES INC,137290,EIN.Z
STRATOS INTERNATIONAL INC,137292,STLW
MARVELL TECHNOLOGY GROUP LTD,137310,MRVL
MAGINDUSTRIES CORP,137330,MAAFF
BERKSHIRE HILLS BANCORP INC,137351,BHLB
COLLICUTT ENERGY SVCS LTD,137352,COH.Z
GENUITY INC,137357,GENUQ
AMERICAN BANK INC/PA,137370,AMBK
CHINA YIDA HOLDING CO,137371,CNYD
CAPSTONE TURBINE CORP,137373,CPST
CARESCIENCE INC,137374,CARE.2
DRILLERS TECHNOLOGY CORP,137376,DLR.1
EXFO INC,137377,EXFO
FIRST SHARES BANCORP INC,137378,FBGI
DEFENSE INDUSTRIES INTL INC,137390,DFNS
VIRAGE INC,137394,VRGE.
ACCORD NETWORKS LTD,137410,ACCD
IDI GLOBAL INC,137430,IDIBQ
DELTA APPAREL INC,137432,DLA
MOBILE TELESYSTEMS PJSC,137433,MBT
IGO INC,137434,IGOI
NETEASE INC,137435,NTES
STORAGENETWORKS INC,137436,3STOR
ZIVO BIOSCIENCE INC,137441,ZIVO
PRECISE SOFTWARE SOLUTIONS,137470,PRSE
MINDSET INTERACTIVE CORP,137511,TGTD
ENABLETS INC,137512,ENTS
ICON MEDIA HOLDINGS INC,137530,ICNM
DUTCHFORK BANCSHARES INC,137531,DFBS
PROLAB TECHNOLOGIES INC,137533,POB.Z
SERANOVA INC,137534,SERA.1
DIVINE INC  -CL A,137572,DVINQ
ENTEGRIS INC,137573,ENTG
INFOVISTA SA,137576,IVTAY
INTERNETARRAY INC,137577,INAR
XAIBE INC,137579,CBPD
FORTRESS EXPLORATION -OLD,137580,FRXP.1
ASAT HOLDINGS LTD  -ADR,137600,ASTTY
AXCELIS TECHNOLOGIES INC,137602,ACLS
GREM USA,137608,GREM
MAXAR TECHNOLOGIES INC,137609,MAXR
SOHU COM LTD,137611,SOHU
TURKCELL ILETISIM HIZMET,137612,TKC
NETWORK ENGINES INC,137641,NEI
CASSAVA SCIENCES INC,137642,SAVA
CANADA 3000 INC,137660,CCC.3
I-MANY INC,137662,IMNY
SRTI BLOCKCHAIN GEN INC,137667,SRTI
TRITON NETWORK SYSTEMS INC,137668,TNSIZ
ISHARES MSCI BRAZIL ETF,137680,EWZ
HARTCO INC,137702,HCIZF
OMNIVISION TECHNOLOGIES INC,137704,OVTI
POWER INTERACTIVE MEDIA INC,137705,3PIAM
CALYX VENTURES INC,137720,CLYXF
TRANSGENOMIC INC,137722,TBIOD
ARGONAUT TECHNOLOGIES INC,137801,AGNT
DECODE GENETICS INC,137803,DCGNQ
LOOMIS FARGO & CO,137820,9967B
IROC ENERGY SERVICES CORP,137840,ISCPF
AIRSPAN NETWORKS INC,137861,AIRO
CORIO INC,137864,CRIO
INTEGRATED ENVIRO TECH LTD,137865,IEVM
SMTC CORP,137874,SMTX
RAINDANCE COMMUNICATIONS INC,137881,RNDC
SMTC MANUFACTURING CP OF CDA,137882,SMX.
VARIAGENICS INC,137883,VGNX
CIRTRAN CORP,137884,CIRC
ENTRAVISION COMMUNICATIONS,137943,EVC
GRUPO FINANCIERO GALICIA SA,137944,GGAL
APW LTD,137960,3APWLQ
BLUE MARTINI SOFTWARE INC,138000,BLUE.2
CHILES OFFSHORE INC,138002,COD.3
GEMINI GENOMICS PLC  -ADR,138003,GMNI.
INTERLAND INC-OLD,138004,ILND.
LEXENT INC,138005,3LXNT
WALLBRIDGE MINING CO LTD,138020,WLBMF
APPLIED MOLECULAR EVOLUTION,138121,AMEV
ARENA PHARMACEUTICALS INC,138122,ARNA
DISCOVERY PARTNERS INTL INC,138123,DPII
GUILDMASTER INC,138124,GLDUQ
INTRALINKS INC -REDH,138125,ILNX
KERYX BIOPHARMACEUTICALS INC,138126,KERX
MAINSPRING INC,138127,MSPR.
PACIFIC UNION BANK,138128,PUBB
RITA MEDICAL SYSTEMS INC,138129,RITA
VALICERT INC,138131,VLCT
MEDIANEWS GROUP INC,138143,9971B
TYCOM LTD,138181,TCM.3
SOAPSTONE NETWORKS INC,138201,SOAP
CONVERGENT GROUP CORP,138202,CVGP
GENENCOR INTL INC,138203,GCOR
ILLUMINA INC,138205,ILMN
CLOUDWARD INC,138210,CDWD
ISHARES S&P MID-CAP 400 GRTH,138241,IJK
ISHARES RUSSELL 2000 VALUE,138242,IWN
ISHARES RUSSELL 2000 GROWTH,138243,IWO
ISHARES CORE RUSSELL US VAL,138261,IUSV
ISHARES CORE S&P U.S. GROWTH,138262,IUSG
ISHARES S&P MID-CAP 400 VAL,138263,IJJ
ISHARES EUROPE ETF,138264,IEV
ISHARES S&P SMCP 600 VAL ETF,138265,IJS
ISHARES S&P SM-CAP 600 GWTH,138266,IJT
ISHARES MSCI EUROZONE ETF,138267,EZU
XVARIANT INC,138302,ESYL.1
STYLECLICK INC  -CL A,138309,3IBUYA
CALIFORNIA PIZZA KITCHEN INC,138321,CPKI
CURIS INC,138341,CRIS
EROOMSYSTEM TECHNOLOGIES INC,138342,ERMS
GENAISSANCE PHARMACEUTICALS,138343,GNSC
HNR VENTURES INC,138344,0372B
SPEECHWORKS INTL INC,138345,SPWX
VIRAGE LOGIC CORP,138346,VIRL
PROXIM CORP,138347,PROXQ
INVESCO INC (CANADA),138381,IVZ.
OPNET TECHNOLOGIES INC,138402,OPNT.1
VICURON PHARMACEUTICALS INC,138404,MICU
FLOWARE WIRELESS SYSTEMS LTD,138441,FLRE.
RB ENERGY INC,138462,RBEIF
DELTAGEN INC,138464,DGEN
IASIAWORKS INC,138465,IAWK
INSPIRE PHARMACEUTICALS INC,138466,ISPH
LANTRONIX INC,138467,LTRX
LIFECO SPLIT CORP INC,138468,LSC..
RESONATE INC,138469,RSNT
ROSETTA INPHARMATICS INC,138470,RSTA.1
AMERICA ONLNE LTN AMR  -CL A,138481,AOLAQ
BRUKER CORP,138483,BRKR
CROSSWAVE COMMUN INC  -ADR,138485,CWCIQ
EXE TECHNOLOGIES INC,138486,EXEE
H POWER CORP,138487,HPOW
TAMALPAIS BANCORP,138489,TAMB
3-DIMENSIONAL PHARMACEUTICAL,138490,DDDP
CERAGON NETWORKS LTD,138501,CRNT
MIND CTI LTD,138521,MNDO
BANKGUAM HOLDING CO,138541,BKGMF
P10 HOLDINGS INC,138601,PIOE
ADVANCED POWER TECHNOL INC,138602,APTI.2
CHIPPAC INC,138603,CHPC.
EVOLVE SOFTWARE INC,138605,EVLVQ
MCDATA CORP  -CL A,138607,MCDTA
MEDICINES CO (THE),138608,MDCO
MILLENNIUM CELL INC,138609,MCELQ
PEMSTAR INC,138610,PMTR
PHARSIGHT CORP,138611,PHST
TVIA INC,138612,TVIAQ.1
TELECOMMUNICATION SYS INC,138613,TSYS
RADVIEW SOFTWARE LTD,138621,RDVWF
ATHEROGENICS INC,138641,AGIXQ
ISTA PHARMACEUTICALS INC,138662,ISTA
REPEATER TECHNOLOGIES INC,138663,RPTR
QUINTALINUX LTD,138681,QLNXF
AVANTGO INC,138701,AVGO.1
ESPERION THERAPEUTICS-OLD,138703,ESPR.1
ASHLIN DEVELOPMENT CORP,138704,3ASHN
LARGE SCALE BIOLOGY CORP,138705,LSBC
PEOPLEPC INC,138706,PEOP.
RTI SURGICAL HOLDINGS INC,138707,RTIX
AMERICAN MEDICAL SYSTMS HLDS,138741,AMMD
EQUINIX INC,138743,EQIX
EXPEDEON AG,138744,LEON.1
VIEWLOCITY INC,138746,3VLCY
TELIK INC -OLD,138747,TELK.1
COMPUGEN LTD,138781,CGEN
C-COM SATELLITE SYSTEMS INC,138841,CYSNF
LEXAR MEDIA INC,138843,LEXR
BELMOND LTD,138861,BEL
WESTERN LAKOTA ENERGY SVCS,138881,WLE.1
PECO II INC,138901,PIII
VIASOURCE COMMUNICATIONS INC,138904,VVVV
AVISTAR COMMUNICATIONS CORP,138921,AVSR
INTEGRATED TELECOM EXPRESS,138924,3ITXIQ
KEY3MEDIA GROUP INC,138925,3KMEDQ
WJ COMMUNICATIONS INC,138943,WJCI
O2MICRO INTERNATIONAL LTD,138961,OIIM
METRO INTERNATIONAL SA,138981,MTOAF
GEORGIA-PACIFIC GRP PROFORMA,139001,GP.P
PINNACLE FINL PARTNERS INC,139025,PNFP
PREMD INC,139062,PREMF
BRAINHUNTER INC,139064,BRHTF
IEMI,139129,IEME.1
SHAREWELL CAPITAL GP  -OLD,139130,SHCG.1
SUNRISE REAL ESTATE GRP INC,139133,SRRE
PENNEXX FOODS INC,139134,PNNX
INVISA INC -OLD,139137,INSA.1
ATLAS RESOURCES INTL INC,139161,ALSI
180 DEGREE CPTL CORP,139201,TURN
HEMIWEDGE INDUSTRIES INC,139221,HWEG
GASCO ENERGY INC,139225,GSXN
BELO SUN MINING CORP,139227,VNNHF
SYNAVANT INC,139244,SNVT
EGI CANADA CORP,139281,EGI.
MARKET 2000 HOLDRS TR,139301,MKH
FIRST FED BANCSHARES INC/DE,139342,FFBI
REGALITO COPPER CORP,139381,RGLOF
INFOINTERACTIVE INC,139401,IIAA
TD SPLIT INC,139443,TDS.C
ELGAR HOLDINGS INC,139501,9981B
OILSANDS QUEST INC,139526,OBQI
AVAYA INC,139662,5933B
MOODY'S CORP,139665,MCO
MIDDLEFIELD BANC CORP,139705,MBCN
VIRYANET LTD,139721,VRYAF
METASOURCE GROUP INC,139742,MTSR
THERMOENERGY CORP,139746,TMEN
ZENGINE INC,139749,ZNGN
DYNETEK INDUSTRIES LTD,139801,DKNDF
OMNISKY CORP,139803,OMNY
TTM TECHNOLOGIES INC,139804,TTMI
CURON MED INC,139922,CRNM
PSION CANADA INC,139926,PON.1
CORETEC INC,139984,CYY.Z
COSINE COMMUNICATIONS INC,139985,COSN
CWC ENERGY SERVICES CORP,139986,CAWLF
DELCATH SYSTEMS INC,140023,DCTH
EDEN BIOSCIENCE CORP,140024,EDEN.1
HYDRIL CO,140027,HYDL
MAVERICK TUBE CDA LTD,140029,MAV.2
OPLINK COMMUNICATIONS INC,140030,OPLK
SOFTWARE HOLDRS TR,140032,SWHYL
GENON ENERGY INC,140033,GEN.3
VERMILLION INC,140042,VRML
COMMERCEFIRST BANCORP INC,140043,CMFB
DURECT CORP,140044,DRRX
GRUPO AEROPORTUARIO SURESTE,140045,ASR
MEDIAGRIF INTERACTIVE TECH,140046,MECVF
VASTERA INC,140049,VAST
VISUAL SCIENCES INC/DE,140050,VSCN
AT ROAD INC,140061,ARDI
ELASTIC NETWORKS INC,140062,ELAS
JESUP & LAMONT INC,140063,JLIC
GENOMICA CORP,140065,GNOM.1
INFORMAX INC,140067,INMX
INTERCALLNET INC,140069,ICLN.1
DISTRIBUTED ENERGY SYS CORP,140071,DESCQ
SPDR PORTFOLIO S&P 500 GRWTH,140072,SPYG
INTEGER HOLDINGS CORP,140073,ITGR
HEAD NV,140081,HEDYY
ARIUS RESEARCH INC,140164,ARI.Z
AXMIN INC,140166,AXMIF
ASIAN TELEVISION NETWRK INTL,140167,AITVF
AUGUSTA RESOURCE CORP,140169,AZC
KUUHUBB INC,140170,BCDMF
VERSUS SYSTEMS INC,140172,VRSSF
ADVANCED EXPLORATIONS INC,140181,ADEXF
CYMAT TECHNOLOGIES LTD,140182,CYMHF
CURRENT WATER TECHGS INC,140185,ENPRF
GALANTAS GOLD CORP,140187,GALKF
FORSYS METALS CORP,140191,FOSYF
GASTAR EXPLORATION INC-OLD,140194,GST.1
HORNBY BAY MINERAL EXPL INC,140202,HBEXF
BRAZILIAN GOLD CORP,140203,BGOZF
INNOGY HOLDINGS PLC,140206,3INGYY
MILLROCK RESOURCES INC,140207,MLRKF
COBALT BLOCKCHAIN INC,140226,COBCF
BHANG INC,140227,GOLDF
PETROFLOW ENERGY LTD,140228,PFLWF
TELLZA INC,140229,TELLF
RALLY ENERGY CORP,140231,RAL.Z
MOBILE KNOWLEDGE INC,140235,MKN.2
STRATIC ENERGY CORP,140238,SE.Z
TOXIN ALERT INC,140242,TOX.H
MEGA PRECIOUS METALS INC,140243,MPRXF
URSA MAJOR MINERALS INC,140246,UMJ.
WOLFDEN RESOURCES INC,140249,WLF.1
APOLLO GRP UNIV PHOENIX ONLN,140261,UOPX
BANRO CORP,140363,BAA
THREED CAPITAL INC,140364,BWSOF
CONSLDTD THOMPSON IRON MINES,140368,CLM.1
GUYANA GOLDFIELDS INC,140372,GUYFF
PHOSCAN CHEMICAL CORP,140386,PCCLF
MEGA URANIUM LTD,140387,MGAFF
ENTERPRISE ENERGY RES LTD,140391,EERFF
LOREX TECHNOLOGY INC,140399,LOXFF
ASIA GLOBAL CROSSING LTD,140421,ASGXF
ADVANCED SWITCHING COMM INC,140441,ASCX
INTROGEN THERAPEUTICS INC,140443,INGNQ
KOSAN BIOSCIENCES INC,140445,KOSN
NEW SKIES SATELLITES HLDGS,140447,NSE.1
SPDR DJ GLOBAL DOW ETF,140461,DGT
SPDR PRTF S&P 500 VALUE ETF,140481,SPYV
SPDR S&P 600 SMALL CAP GR,140482,SLYG
SPDR S&P 600 SMALL CAP VALUE,140483,SLYV
STREETTRACKS MS INTERNET,140501,MII.2
SPDR NYSE TECHNOLOGY ETF,140502,XNTK
SOLAR GOLD LTD,140522,PLKT
STUART ENERGY SYSTEM CORP,140527,HHO.1
NEWPOWER HOLDINGS INC,140528,NWPWQ
INNOVARO INC,140529,INNI
